refDate,group,volumeIndex,yoyChange
2024-03-01,Clothing and Footwear,133.6,32.93532338308458
2024-04-01,Clothing and Footwear,131.3,14.173913043478281
2024-05-01,Clothing and Footwear,131.5,13.557858376511223
2024-06-01,Clothing and Footwear,130.8,8.188585607940446
2024-07-01,Clothing and Footwear,132.3,29.578844270323223
2024-08-01,Clothing and Footwear,135.6,32.94117647058823
2024-09-01,Clothing and Footwear,141.7,48.06687565308254
2024-10-01,Clothing and Footwear,136.3,36.027944111776456
2024-11-01,Clothing and Footwear,135.9,17.45894554883318
2024-12-01,Clothing and Footwear,141.1,6.41025641025641
2025-01-01,Clothing and Footwear,151.6,24.05891980360064
2025-02-01,Clothing and Footwear,145.8,11.55317521040553
2025-03-01,Clothing and Footwear,151.9,13.69760479041917
2025-04-01,Clothing and Footwear,147.1,12.033511043412016
2025-05-01,Clothing and Footwear,153.5,16.730038022813698
2025-06-01,Clothing and Footwear,148.7,13.685015290519864
2025-07-01,Clothing and Footwear,153.4,15.948601662887363
2025-08-01,Clothing and Footwear,136.6,0.7374631268436627
2025-09-01,Clothing and Footwear,138.8,-2.0465772759350576
2025-10-01,Clothing and Footwear,148.8,9.170946441672779
2025-11-01,Clothing and Footwear,165.5,21.780721118469447
2017-01-01,Furniture and Fixtures,94.5,
2017-02-01,Furniture and Fixtures,94.0,
2017-03-01,Furniture and Fixtures,99.0,
2017-04-01,Furniture and Fixtures,99.4,
2017-05-01,Furniture and Fixtures,103.5,
2017-06-01,Furniture and Fixtures,103.4,
2017-07-01,Furniture and Fixtures,100.3,
2017-08-01,Furniture and Fixtures,101.3,
2017-09-01,Furniture and Fixtures,100.0,
2017-10-01,Furniture and Fixtures,97.8,
2017-11-01,Furniture and Fixtures,102.9,
2017-12-01,Furniture and Fixtures,103.8,
2018-01-01,Furniture and Fixtures,99.5,5.291005291005302
2018-02-01,Furniture and Fixtures,102.0,8.51063829787233
2018-03-01,Furniture and Fixtures,105.0,6.060606060606055
2018-04-01,Furniture and Fixtures,98.3,-1.106639839034218
2018-05-01,Furniture and Fixtures,102.5,-0.9661835748792313
2018-06-01,Furniture and Fixtures,102.4,-0.9671179883945835
2018-07-01,Furniture and Fixtures,105.3,4.985044865403787
2018-08-01,Furniture and Fixtures,99.0,-2.2704837117472843
2018-09-01,Furniture and Fixtures,97.8,-2.200000000000002
2018-10-01,Furniture and Fixtures,101.7,3.9877300613496924
2018-11-01,Furniture and Fixtures,101.1,-1.7492711370262537
2018-12-01,Furniture and Fixtures,98.0,-5.587668593448935
2019-01-01,Furniture and Fixtures,111.3,11.859296482412063
2019-02-01,Furniture and Fixtures,102.9,0.8823529411764675
2019-03-01,Furniture and Fixtures,98.6,-6.0952380952380985
2019-04-01,Furniture and Fixtures,102.3,4.069175991861651
2019-05-01,Furniture and Fixtures,97.1,-5.268292682926834
2019-06-01,Furniture and Fixtures,96.4,-5.859375
2019-07-01,Furniture and Fixtures,100.0,-5.033238366571702
2019-08-01,Furniture and Fixtures,96.5,-2.5252525252525304
2019-09-01,Furniture and Fixtures,94.6,-3.271983640081799
2019-10-01,Furniture and Fixtures,94.1,-7.472959685349078
2019-11-01,Furniture and Fixtures,91.4,-9.594460929772497
2019-12-01,Furniture and Fixtures,93.2,-4.8979591836734615
2020-01-01,Furniture and Fixtures,95.6,-14.106019766397127
2020-02-01,Furniture and Fixtures,92.3,-10.301263362487855
2020-03-01,Furniture and Fixtures,75.5,-23.42799188640973
2020-04-01,Furniture and Fixtures,62.4,-39.002932551319645
